name,address
Autodemontage Poelstra B.V.,"Edisonstraat 21, 8801PN Franeker"
Prescher Autohandel en Autosloperij,"Weidehek 90, 4824AS Breda"
Zanetti Autosloperij VOF,"Trasweg 4, 5712BB Someren"
Autosloperij Ayaz B.V.,"Waalhaven N.z. 31, 3087BH Rotterdam"
Occasion Center Roosendaal BV,"Vlierwerf 4, 4704SB Roosendaal"
Autoschadebedrijf Marmara,"Achterasweg 17, 2141DG Vijfhuizen"
Mercedes Demontage van Schoten,"Feithenhofsweg 8, 8096PB Oldebroek"
Kuijpers Metaalrecycling B.V.,"Rieten 6, 5986PH Beringe"
Autodemontage Vrijhoeven B.V.,"Industrieweg 11, 5158NJ Heesbeen"
Autodemontage De Kneus,"Spiegelstraat 7, 2631RS Nootdorp"
G. en W. Brink Metaal BV,"Oosterwijk WZ 1, 7885TN Nieuw-Dordrecht"
Metaalhandel Franssen B.V.,"Windmolen 7, 6229PN Maastricht"
Autosloperij W.G. Jansen BV,"Rijksstraatweg 70, 2241BW Wassenaar"
Utrecht Autosloperij,"Leptonenweg 6, 3542CJ Utrecht"
Gebr. Opdam BV,"Voorschoterweg 41, 2235SE Valkenburg"
Autodemontagebedrijf Aktas,"Gilze-Rijenstraat 38, 3045PJ Rotterdam"
Autorecycling Bart,"Osdorperweg 487, 1067SR Amsterdam"
Autobedrijf Fa. Hoogerwerf,"Molenweg 2, 4311AE Bruinisse"
Fa. Van Heest,"Blauwgras 96, 7623GR Borne"
Autorecycling N. Kossen B.V.,"Oosterweg 2, 1759JB Callantsoog"
Bentie's Autodemontage,"Vecht 33, 1703KK Heerhugowaard"
Auto Recycling Langedijk,"Waarddijk Noord 4, 1724PH Oudkarspel"
Autosloperij De Kleine Winst VOF,"Houtlaan 5, 6525ZA Nijmegen"
Boels Autodemontage B.V.,"Beumeesweg 182, 9661AN Alteveer"
Ommen Autodemontagebedrijf J van,"Deltahoek 4, 4511PA Breskens"
Birkt Autosloperij De,"Kryptonweg 1, 3812RZ Amersfoort"
Auto Samsen B.V.,"Toermalijnstraat 15, 7554TX Hengelo"
Mettler B.V.,"Rooiseweg 12, 5481SJ Schijndel"
Boortoren Autosloperij De,"Ommelpad 12, 6035PC Ospel"
VOF Ritterbex & Zoon,"Hubert van Doornelaan 29, 6229VJ Maastricht"
Boonstra Autoparts,"Skieppeleane 4, 9247CA Ureterp"
Karaman Autosloperij,"Spaarnwouderweg 1175, 2141BN Vijfhuizen"
Van der Feer Autorecycling B.V.,"De Dommel 20, 8253PL Dronten"
Gebr. Vanweert,"Van Dijkhuizenstraat 12, 3864DV Nijkerkerveen"
Mestebeld Trucks B.V.,"Parallelweg 24, 8152BE Lemelerveld"
Verweij's Trucking BV,"Lopikerweg oost 64, 3411JH Lopik"
BZJ B.V.,"Rouwenboschweg 19, 6545AE Nijmegen"
Schutte Autodemontage,"Kuiperstraat 14, 6243NH Geulle"
G.C.J. Bomers,"Blauwe Hoefsweg 26/G, 4791JD Klundert"
Autosloperij Weteringbrug,"Lisserweg 38, 2156LC Weteringbrug"
W.M. Romein,"Hoofdweg 109, 3067GC Rotterdam"
Rio VOF Autosloperij,"Ambachtsstraat 8, 4538AW Terneuzen"
Rhenoy Holding,"Industrieweg 3, 4181CA Waardenburg"
Autosloperij Kralingen B.V.,"Hoofdweg 131, 3067GD Rotterdam"
Eendracht Autosloperij De,"Bleiswijkseweg 33, 2712PA Zoetermeer"
Knapper Autosloperij J,"Gideonweg 7, 9723BM Groningen"
Rhenoy Onderdelen BV,"Holweistraat 10, 4181CC Waardenburg"
Autocommerce,"Achterasweg 13, 2141DG Vijfhuizen"
HD Sloperij Feelders (Harley Davidson Specialist),"Fornheselaan 162, 3734GE Den Dolder"
Auto Verschrotings Industrie A.V.I. Den Bosch BV,"Rietveldenkade 1, 5222AJ Den Bosch"
H Poolen,"Petroleumhavenweg 22, 1041AC Amsterdam"
Autosloperij Delft BV,"Rotterdamseweg 221/A, 2636KC Schipluiden"
Autoparaat,"Achterasweg 16, 2141DG Vijfhuizen"
F.H. Scheffer,"Rudolf Dieselstraat 58, 6229SC Maastricht"
Van Gulik,"H Gerhardstraat 177, 1502CD Zaandam"
B.G. van de Bunte Holding BV,"Stationsweg 5, 7395SB Teuge"
Autorecycling Spijkcity B.V.,"Burgemeester de Raadtsingel 93/C, 3311JG Dordrecht"
Feelders Autodemontage,"Fornheselaan 162, 3734GE Den Dolder"
Kleine Staarman Autoplaatwerkhandel,"Kelvinstraat 13, 7575AS Oldenzaal"
Autosloperij Salam,"Spaarnwouderweg 1175, 2141BN Vijfhuizen"
Happy End Autosloperij,"Spaarnwouderweg 1175, 2141BN Vijfhuizen"
AutoHam,"Nijkerkerstraat 27/A, 3821CD Amersfoort"
Autodemontagebedrijf E. Kooij,"Waterlooweg 2, 3711BE Austerlitz"
de Boer auto onderdelen,"Industriestraat 22, 9502EJ Stadskanaal"
Dide Exportbedrijf BV,"Sluispolderweg 30, 1505HK Zaandam"
A.K. ter Linde,"Hubert van Doornelaan 9, 6229VE Maastricht"
Jansen van Beek Autodemontagebedrijf,"Logistiekweg 10, 6681LS Bemmel"
Altijd Raak Penders (De) Montage B.V.,"James Wattweg 6, 3133KK Vlaardingen"
Bladderswijk,"Oosterwijk WZ 19, 7885TN Nieuw-Dordrecht"
Autobedrijf Tijvoort,"Tijvoortsebaan 11, 5051HJ Goirle"
Autodemontagebedrijf Binckhorst B.V.,"Steenplaetsstraat 5, 2288AA Rijswijk"
Autodemontage Zelissen,"Milieuparkweg 14, 6136KP Sittard"
Autodemontagebedrijf Verberk BV,"Nijverheidsstraat 1/A, 5405AJ Uden"
Mugro Autosloperij,"Industrieweg 16, 3762EK Soest"
Bongers vd Laar BV,"Kleine Graspeel 19, 5411LA Zeeland"
Automarkt Lotfi,"Spaarnwouderweg 1175, 2141BN Vijfhuizen"
Bliek Autosloperij vd,"Koemeer 2, 5513NS Wintelre"
Car Toyota Onderdelen,"Schoolstraat 44, 3864MH Nijkerkerveen"
Autorecycling Gebroeders Prins Steenwijk BV,"Broekslagen 3/A, 8331TJ Steenwijk"
W. Pater Autohandel en Taxatie,"Stadhouderslaan 123, 3905HC Veenendaal"
Autosloperij Pieper B.V.,"Broekermolenweg 3/A, 3882MG Putten"
Gebruikte Auto Onderdelen Service Flevoland,"Betonweg 12, 8305AG Emmeloord"
Auto Biermans B.V.,"Rijksweg 24, 6325AE Berg en Terblijt"
Auto- en Recyclingbedrijf De Zwette,"James Wattstraat 16, 8912AS Leeuwarden"
HY-Cars,"Sluisjesdijk 66, 3087AJ Rotterdam"
Rip's Autosloperij,"Bredeweg 134, 2761KB Zevenhuizen"
Autosloperij AAB,"Wauderickweg 4, 6545CK Nijmegen"
Maresia Auto Recycling BV,N/A
Geerts Auto-Sloopbedrijf L,"Spaarnwouderweg 1175, 2141BN Vijfhuizen"
Autosloperij Alex van Alles Wat,"Vosheuvelweg 8, 6545AD Nijmegen"
Autosloperij Barth,"Roerstraat 2, 7005BR Doetinchem"
Wolters Sloperij H,"Oosterwijk WZ 23, 7885TN Nieuw-Dordrecht"
Huba Autohandel & Sloperij Fa,"Zuiderweg 2, 1761LM Anna Paulowna"
Autosloperij F. Leeman BV,"Koekoeksedijk 18, 4761PJ Zevenbergen"
Van der Molen,"Wolddiep 4, 9862TH Sebaldeburen"
Schut Auto Onderdelen,"Industrieweg 29, 3762EH Soest"
Pril Autodemontagebedrijf F J,"Najaarsweg 54, 7532SK Enschede"
Autosloperij De Zaag B.V.,"Zaag 7, 2931LD Krimpen aan de Lek"
Autodemontagebedrijf Verhoef,"Rijsbosch 6/a, 4112MC Beusichem"
Autosloperij Stegeman BV,"Exelseweg 25, 7245VD Laren"
Autodemontage Breda BV,"Tilburgseweg 269, 4817BD Breda"
Gooi Autosloperij 't,"Statenweg 3, 1213RB Hilversum"
Damen Autosloperij P,"Hellasstraat 14, 5047SK Tilburg"
Onne van de Stadt Recycling BV,"Rijshoutweg 4, 1505HL Zaandam"
Brand Autobedrijf Mercedes Benz BV vd,"Frontstraat 1, 5405AK Uden"
Opbroek Recycling BV,"de Giesel 38, 6081PH Haelen"
Fieten Autodemontage / Citroën,"De Hanekampen 20/D, 9411XM Beilen"
Timmermans Autosloperij,"Maalbroek 221, 6042KM Roermond"
Autosloperij Hejo BV,"Henri Dunantweg 3, 2411NJ Bodegraven"
Autodemontage Van Bebberen B.V.,"Dijkje 2/a, 4284VN Rijswijk (NB)"
Mullenberg VOF,"Dr. Ir. Van Veenweg 9, 4612PE Bergen op Zoom"
AutoDemontage Hoogeveen,"Fokkerstraat 29, 7903AT Hoogeveen"
Vries L de,"Oudeweg 117, 9608PL Westerbroek"
Vijfschaft M,"Ottostraat 1, 6716BG Ede"
Autohand. & Autodemontagebedr. Helmerich BV,"Tienlingstraat 20, 1507DD Zaandam"
Auto Recycling Spijkenisse BV,"Lorentzweg 1, 3208LJ Spijkenisse"
Autosloperij De Sluis,"Heining 41, 1047AZ Amsterdam"
Autodemontage van Spanje BV,"Provincialeweg 49, 4031JM Ingen"
Vos Autodemontage,"Elsenpas 7, 6641KM Beuningen Gld"
Autosloperij Spoorzicht,"Gersteweg 51, 2153GH Nieuw-Vennep"
Van der Iest Kootstertille B.V.,"Westkern 13, 9288CA Kootstertille"
Autodemontagebedrijf Snuverink B.V.,"Kamerlingh Onnesstraat 15, 7271AZ Borculo"
Kleine Staarman Holding B.V.,"Bolscher Landen 12, 7627NP Bornerbroek"
Wilkohaag Metaal BV,"Uitenhagestraat 35, 2571VV Den Haag"
Autobedrijf de Haas BV,"Schoenmakerij 8, 4762AS Zevenbergen"
